06:22:14: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\modules\common\modules\logger\logger_main_setup.py | setup_main_logger | 62] main logger initialized
06:22:14: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | main | 132] Connected!
06:22:15: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE_ALTITUDE: 1
06:22:15: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE_ALTITUDE: -1
06:22:18: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: 63.43494882292201
06:22:19: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: 90.0
06:22:19: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: 116.56505117707799
06:22:20: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: 45.0
06:22:20: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: 63.43494882292201
06:22:21: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: 90.0
06:22:21: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: 26.565051177077994
06:22:22: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: 45.0
06:22:22: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: 90.0
06:22:23: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: 45.0
06:22:23: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: 90.0
06:22:24: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: 135.0
06:22:24: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: -26.565051177077994
06:22:25: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: -45.0
06:22:25: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: -90.0
06:22:26: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: -45.0
06:22:26: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: -90.0
06:22:27: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: -135.0
06:22:27: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: -63.43494882292201
06:22:28: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: -90.0
06:22:28: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: -116.56505117707799
06:22:29: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: -45.0
06:22:29: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: -63.43494882292201
06:22:30: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: -90.0
