23:02:42: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 45] Logger initialized
23:02:43: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
23:02:43: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
23:02:46: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
23:02:47: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
23:02:47: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
23:02:48: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
23:02:48: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
23:02:49: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
23:02:49: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
23:02:50: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
23:02:50: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
23:02:51: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
23:02:51: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
23:02:52: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
23:02:52: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
23:02:53: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
23:02:53: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
23:02:54: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
23:02:54: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
23:02:55: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
23:02:55: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
23:02:56: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
23:02:56: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
23:02:57: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
23:02:57: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
23:02:58: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
23:03:01: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 83] Passed!
