23:02:42: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\modules\common\modules\logger\logger_main_setup.py | setup_main_logger | 62] main logger initialized
23:02:42: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | main | 136] Connected!
23:02:43: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE_ALTITUDE: 1
23:02:43: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGE_ALTITUDE: -1
23:02:46: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: 63.43494882292201
23:02:47: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: 90.0
23:02:47: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: 116.56505117707799
23:02:48: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: 45.0
23:02:48: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: 63.43494882292201
23:02:49: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: 90.0
23:02:49: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: 26.565051177077994
23:02:50: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: 45.0
23:02:50: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: 90.0
23:02:51: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: 45.0
23:02:51: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: 90.0
23:02:52: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: 135.0
23:02:52: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: -26.565051177077994
23:02:53: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: -45.0
23:02:53: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: -90.0
23:02:54: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: -45.0
23:02:54: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: -90.0
23:02:55: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: -135.0
23:02:55: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: -63.43494882292201
23:02:56: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: -90.0
23:02:56: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: -116.56505117707799
23:02:57: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: -45.0
23:02:57: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: -63.43494882292201
23:02:58: [INFO] [C:\Users\Hanxi\wargbootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 79] CHANGING_YAW: -90.0
